source,target,weight
A Arthur Capell,Arthur Capell,1
A B Andrew Barton Paterson,Aunt Nora,1
A B Andrew Barton Paterson,Doris Kennedy,1
A B Andrew Barton Paterson,Lady Blunt,1
A B Andrew Barton Paterson,Nora Murray-Prior,1
A B Andrew Barton Paterson,Robert Jocelyn,1
A B Andrew Barton Paterson,Rosa Praed,1
A B Andrew Barton Paterson,nee Lumsdaine,1
A D Alec Derwent Hope,Alex Derwent Hope,1
A D Alec Derwent Hope,David Campbell,1
A D Alec Derwent Hope,David Webster,1
A D Alec Derwent Hope,Douglas Stewart,1
A D Alec Derwent Hope,Fay Zwicky,1
A D Alec Derwent Hope,Francis Webb,1
A D Alec Derwent Hope,Geoffrey Dutton,1
A D Alec Derwent Hope,George Johnston,1
A D Alec Derwent Hope,Gwen Harwood,1
A D Alec Derwent Hope,Hilary Webster,1
A D Alec Derwent Hope,James McAuley,1
A D Alec Derwent Hope,Joy Hooton,1
A D Alec Derwent Hope,Judith Wright,1
A D Alec Derwent Hope,Keith Hancock,1
A D Alec Derwent Hope,Kenneth Slessor,1
A D Alec Derwent Hope,Nettie Palmer,1
A D Alec Derwent Hope,Norman Lindsay,1
A D Alec Derwent Hope,Patrick White,1
A D Alec Derwent Hope,Robert FitzGerald,1
A D Alec Derwent Hope,Rosemary Dobson,1
A D Alec Derwent Hope,Terese Simpson,1
A D Andrew David Spaull,James Dedman,1
A D Andrew David Spaull,John Dedman,2
A D Andrew David Spaull,Mary Johnstone,1
A E Melville,Douglas Copland,1
A E Melville,Eileen Giblin,1
A E Melville,J.M. Garland,1
A E Melville,L.F. Giblin,1
A E Melville,Tony Melville,1
A F Alice F Strudwick,Alice Strudwick,1
A F Alice F Strudwick,J. Holder,1
A F Alice F Strudwick,Jack Holder,1
A G Alfred George Collector Stephens,A. G. Stephens,1
A G Alfred George Collector Stephens,A. H. Adams,1
A G Alfred George Collector Stephens,B. H. Boake,1
A G Alfred George Collector Stephens,B. R. Wise,1
A G Alfred George Collector Stephens,C. Colles,1
A G Alfred George Collector Stephens,C. Firth-Pettinger,1
A G Alfred George Collector Stephens,C. H. Souter,1
A G Alfred George Collector Stephens,C. J. Dennis,1
A G Alfred George Collector Stephens,D. F. McCrae,1
A G Alfred George Collector Stephens,D. H. Souter,1
A G Alfred George Collector Stephens,D. M. Wright,1
A G Alfred George Collector Stephens,E. Budge,1
A G Alfred George Collector Stephens,E. Dyson,1
A G Alfred George Collector Stephens,F. Morton,1
A G Alfred George Collector Stephens,G. F. Cumine,1
A G Alfred George Collector Stephens,G. G. McCrae,1
A G Alfred George Collector Stephens,G. Hall,1
A G Alfred George Collector Stephens,G. Innes,1
A G Alfred George Collector Stephens,H. Lawson,1
A G Alfred George Collector Stephens,H. McCrae,1
A G Alfred George Collector Stephens,J. A. Allen,1
A G Alfred George Collector Stephens,J. Hebblethwaite,1
A G Alfred George Collector Stephens,J. L. Webb,1
A G Alfred George Collector Stephens,J. S. Neilson,1
A G Alfred George Collector Stephens,L. Esson,1
A G Alfred George Collector Stephens,L. Fisher,1
A G Alfred George Collector Stephens,L. Stone,1
A G Alfred George Collector Stephens,M. Clarke Jr,1
A G Alfred George Collector Stephens,M. Gilmore,1
A G Alfred George Collector Stephens,M. Pitt,1
A G Alfred George Collector Stephens,N. Campbell,1
A G Alfred George Collector Stephens,N. Murdoch,1
A G Alfred George Collector Stephens,O. Hogue,1
A G Alfred George Collector Stephens,R. Bedford,1
