name,type,betweenness,community
A Arthur Capell,archive_holder,0.0,0
A B Andrew Barton Paterson,archive_holder,1.7944234945601402e-06,1
A D Alec Derwent Hope,archive_holder,0.01706666813668,94
A D Andrew David Spaull,archive_holder,0.0,2
A E Melville,archive_holder,3.2897764066935904e-06,3
A F Alice F Strudwick,archive_holder,0.0,4
A G Alfred George Collector Stephens,archive_holder,0.0137783184300823,296
A G Alfred George Stephens,archive_holder,0.0010914039272911,82
A Grove Arthur Grove Day,archive_holder,0.0009400764287148,94
A James Anthony James Hammerton,archive_holder,0.0,196
A L Alan Lindsey McLeod,archive_holder,0.0003158185350425,176
A P Allan Percy Fleming,archive_holder,0.0083977500911618,172
A S Anthony Sylvester Luchetti,archive_holder,0.0,5
A T Bolton,archive_holder,0.0072855159838704,84
Adelaide Lubbock,archive_holder,5.9814116485338e-07,197
Adriana Delprat,archive_holder,0.001256096446192,94
Aeneas Mrs Gunn,archive_holder,0.0033050290063973,296
Aileen Palmer,archive_holder,0.0021532691352835,279
Alan Alan Douglas Reid,archive_holder,0.0,198
Alan D Alan Durward Mickle,archive_holder,0.0,199
Alan Frost,archive_holder,0.0001579092675212,94
Alan Gould,archive_holder,0.0084159529300241,160
Alan Holgate,archive_holder,0.0014137066431309,82
Alan Marshall,archive_holder,0.0176242728278762,64
Alan Moorehead,archive_holder,0.0,6
Alan Seymour,archive_holder,0.0027048642867612,40
Alan Shadwick,archive_holder,0.0003152203938777,74
Alan Sir Watt,archive_holder,1.3458176209201051e-05,122
Alan Villiers,archive_holder,0.0015713168400698,62
Albie Thoms,archive_holder,0.0051501705085836,216
Alec Bagot,archive_holder,0.0,200
Alec H Alec Hugh Chisholm,archive_holder,0.0,7
Alexander Buzo,archive_holder,0.0080265783703255,40
Alexander Craig,archive_holder,0.0003158185350425,179
Alexander Wilson,archive_holder,0.0,201
Alfred Deakin,archive_holder,0.0067009491610158,186
Alison Broinowski,archive_holder,0.0113511527276477,65
Allan Aldous,archive_holder,0.0022017576278252,82
Allan Scarfe,archive_holder,0.0,8
Amirah Inglis,archive_holder,0.0007989551737527,116
Andras Dezsery,archive_holder,0.0,202
Andrew Fabinyi,archive_holder,0.0001919357134591,216
Andrew Taylor,archive_holder,0.0001617136628006,160
Ann Moyal,archive_holder,0.004442419783724,172
Ann Sophia Catherine Cameron,archive_holder,2.9907058242669e-07,203
Ann Turner,archive_holder,0.0021385482259268,276
Anne Deveson,archive_holder,0.0,9
Anne Edgeworth,archive_holder,0.0,204
Anne Gollan,archive_holder,0.0,10
Anne Summers,archive_holder,0.0077746616652491,78
Anne Von Bertouch,archive_holder,0.0009619292970341,205
Anthony Hill,archive_holder,0.000260186191187,65
Anthony J Hassall,archive_holder,0.0007895463376064,179
Anthony Lawrence,archive_holder,0.0013523411475274,160
Anthony Thwaite,archive_holder,0.0001653842648337,160
Antonio Casella,archive_holder,0.0014913640511946,206
Arthur Arthur Patrick Murphy,archive_holder,0.0018511398858961,35
Arthur George Sir Stephenson,archive_holder,1.49535291213345e-06,11
Arthur Groom,archive_holder,5.9814116485338e-07,12
Arthur W Arthur William Upfield,archive_holder,0.0,207
Arundell Del Re,archive_holder,0.0,13
Australian National University Postwar reconstruction seminar,archive_holder,0.0028334307762664,78
Australian Publishers Association,archive_holder,0.0,14
Australian Society of Authors,archive_holder,0.0061278872168177,94
Australian Writers Guild,archive_holder,0.005028680610557,40
Aviva Layton,archive_holder,0.0014137066431309,52
Axel Clark,archive_holder,0.0016954110456561,94
Axel Poignant,archive_holder,0.0,15
B Mrs McLachlan,archive_holder,0.0001579092675212,94
B R Bertram Ronald Whiting,archive_holder,0.0076094207513278,39
B S Baxter Cook,archive_holder,0.0,208
Barbara Baynton,archive_holder,0.0039497485282902,74
Barbara Blackman,archive_holder,0.0010863692663552,113
Barbara Gibbons,archive_holder,0.0,27
Barbara Hanrahan,archive_holder,0.0023661631054889,84
Barbara Perry,archive_holder,0.001256096446192,84
Barbara Thorn,archive_holder,0.0,16
Barbara or Ross,archive_holder,0.0,209
Barry Hill,archive_holder,0.0003158185350425,116
Barry Oakley,archive_holder,0.0176384932019319,40
Basil Thomson,archive_holder,2.033679960501492e-05,287
Beatrice Davis,archive_holder,0.0194594516224255,94
Beatrice Macdonald,archive_holder,8.373976307947321e-06,210
Beaumont approximately Smith,archive_holder,0.0020432428889778,82
Bernard Cronin,archive_holder,0.0029566846047012,247
Bernard Hardy,archive_holder,0.0,17
Bernard Smith,archive_holder,0.0095342931203055,205
Bert Castellari,archive_holder,1.19628232970676e-06,18
Beth Dean,archive_holder,0.0,19
Bethia Foott,archive_holder,0.0004269295321559,113
Betty Blunden,archive_holder,0.0017229796375268,64
Betty Howard,archive_holder,0.0004737278025638,94
Betty Roland,archive_holder,0.0004737278025638,40
Bill Ryland,archive_holder,0.0,20
Bill Scott,archive_holder,0.0064916584503457,64
Bill Wannan,archive_holder,0.0038031621897473,64
Bob Douglas,archive_holder,2.9907058242669e-07,211
Bob Ellis,archive_holder,0.0050116086274163,40
Booth W Norman,archive_holder,0.0,212
Brenda Niall,archive_holder,0.0091045895763431,74
Brenda Walker,archive_holder,0.0,160
Brian Brian Francis Kiernan,archive_holder,0.0024823001299403,40
Brian Essai,archive_holder,5.9814116485338e-07,171
Bruce Bennett,archive_holder,0.003349456347215,160
Bruce Pascoe,archive_holder,0.0001579092675212,24
Bruce Steele,archive_holder,0.0003158185350425,279
Bryan KeonCohen,archive_holder,1.49535291213345e-06,21
C A Cecil Austin Gibb,archive_holder,0.0,213
C J Christopher John Koch,archive_holder,0.0013549987130981,160
C J Clarence James Dennis,archive_holder,0.0056654253855445,82
C J Clement John Lloyd,archive_holder,0.0017289270370086,78
C P Charles Patrick FitzGerald,archive_holder,0.0,214
C R Catherine R Dalton,archive_holder,0.0,215
C T Charles Talbut Onions,archive_holder,0.0022017576278252,176
Cameron Hazlehurst,archive_holder,0.0,22
Carmel Bird,archive_holder,0.0011312660066081,24
Carol Jerrems,archive_holder,0.0,23
Carole Deagan,archive_holder,0.0011318796485923,24
Cassandra Jane Pybus,archive_holder,0.0044616423066008,24
Catherine Helen Spence,archive_holder,0.0025115947512193,216
Catherine Lindsay,archive_holder,0.0,25
Cathy Peake,archive_holder,0.0042030613330136,74
Cecil Edwards,archive_holder,8.972117472800701e-07,217
Charles Hayes,archive_holder,1.19628232970676e-06,218
Charlotte Barnard,archive_holder,0.0030938370143939,276
Charmian Clift,archive_holder,0.0003158185350425,177
Cherry Ripe,archive_holder,5.9814116485338e-07,219
Cheryl Creatrix,archive_holder,0.0071794694002251,179
Chester Eagle,archive_holder,4.5674493131362144e-05,64
Chester Wilmot,archive_holder,0.0001579092675212,206
Chris Mansell,archive_holder,0.0053247372517668,160
Chris WallaceCrabbe,archive_holder,0.0,160
Chris Williams,archive_holder,0.0061142678999743,252
Christina Stead,archive_holder,0.0182371691756087,84
Christobel Mattingley,archive_holder,0.0045476350017748,26
Christopher Brennan,archive_holder,0.0072583112957536,82
Christopher Crisp,archive_holder,0.0009474556051277,186
Claire Dunne,archive_holder,0.0001579092675212,252
Colin A Colin Anfield Hughes,archive_holder,0.0055108638536653,45
Colin Bingham,archive_holder,0.0,220
Colin Blore Bednall,archive_holder,0.0023957420507518,206
Colin MacInnes,archive_holder,0.0025109966100544,74
Colin Roderick,archive_holder,0.0041844205980516,27
Colin Steele,archive_holder,0.0003078844573263,276
Colleen McCullough,archive_holder,0.0014137066431309,40
Commonwealth Literary Fund,archive_holder,0.034641779325941,64
Craig McGregor,archive_holder,0.000457061136607,64
Currency Press,archive_holder,0.0123554327450748,40
Curt Prerauer,archive_holder,0.0016066102015937,96
D B Douglas Berry Copland,archive_holder,0.0006316370700851,45
D C S David Carlisle Stanley Sissons,archive_holder,0.0003158185350425,96
D Dorothy Glasson,archive_holder,0.0,28
D G David Geoffrey Penington,archive_holder,0.0,29
D H David Henry Souter,archive_holder,5.9814116485338e-07,30
D H Donald H Crick,archive_holder,0.0017319006122748,94
D J Derek John Mulvaney,archive_holder,2.9907058242669e-07,54
D L Dharmasoka Laksiri Jayasuriya,archive_holder,2.39256465941352e-06,31
D W Sloper,archive_holder,1.19628232970676e-06,221
Dal Stivens,archive_holder,6.643323175488841e-05,279
